Invoice Number,Ident,Reg,Dist.,tonn,Amount,Mapped_Unit_Rate,Calculated_Amount,Status
4AIC-453,AIC111,VTJRI,1212.0,280.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC112,VTJRI,1143.0,280.0,960.12,84.0,960.12,Matched
4AIC-453,AIC114,VTANC,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC117,VTANO,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC128,VTAEP,454.0,345.0,408.6,90.0,408.6,Matched
4AIC-453,AIC137,VTANA,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC138,VTANA,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC142,VTANP,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC143,VTANP,1225.0,220.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC147,VTANV,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC148,VTANV,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC153,VTANM,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC155,VTANB,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC156,VTANB,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC161,VTJRA,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC162,VTJRE,1143.0,280.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2015,VTTSE,1172.0,250.0,984.48,84.0,984.48,Matched
4AIC-453,AIC2017,VTTSP,1172.0,247.0,984.48,84.0,984.48,Matched
4AIC-453,AIC2018,VTTSH,1203.0,247.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2025,VTTSD,1203.0,250.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2026,VTTSD,1161.0,250.0,975.24,84.0,975.24,Matched
4AIC-453,AIC2029,VTTSN,1203.0,247.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2030,VTTSN,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC111,VTJRE,1225.0,280.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC112,VTJRE,1221.0,280.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC113,VTANB,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC1135,VTALR,976.0,345.0,878.4,90.0,878.4,Matched
4AIC-453,AIC118,VTANO,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC137,VTANA,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC138,VTANA,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC142,VTANI,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC143,VTANI,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC147D,VTNAA,1229.0,220.0,1032.36,84.0,1032.36,Matched
4AIC-453,AIC148,VTNAA,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC151,VTANV,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC152,VTANV,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC154,VTANM,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC155,VTANP,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC156,VTANP,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC157,VTANO,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC158,VTANO,1212.0,220.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC161,VTJRF,1212.0,280.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC162,VTJRA,1143.0,280.0,960.12,84.0,960.12,Matched
4AIC-453,AIC169,VTNAC,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC170,VTNAC,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2016,VTTSE,1203.0,250.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2017,VTTSP,1203.0,247.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2018,VTTSP,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AIC2025,VTTSD,1203.0,250.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2026,VTTSD,1161.0,250.0,975.24,84.0,975.24,Matched
4AIC-453,AIC2029,VTTSN,1203.0,247.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2030,VTTSN,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC111,VTJRE,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC112,VTJRE,1221.0,280.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC1137,VTAEP,1354.0,345.0,1218.6,90.0,1218.6,Matched
4AIC-453,AIC117,VTANB,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC118,VTANB,1232.0,220.0,1034.88,84.0,1034.88,Matched
4AIC-453,AIC119,VTALX,532.0,345.0,478.8,90.0,478.8,Matched
4AIC-453,AIC137,VTANO,1212.0,220.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC138,VTANO,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC142,VTANR,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC143,VTANR,1212.0,220.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC147,VTTSH,1232.0,247.0,1034.88,84.0,1034.88,Matched
4AIC-453,AIC148,VTTSH,1203.0,247.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC153,VTANP,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC154,VTANP,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC155,VTANZ,1212.0,220.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC156,VTANZ,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC161,VTJRB,1212.0,280.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC162,VTJRF,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2015,VTTSP,1225.0,247.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC2017,VTTSE,1203.0,250.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2018,VTTSP,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2029,VTTSN,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2030,VTTSN,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC111,VTJRE,1172.0,280.0,984.48,84.0,984.48,Matched
4AIC-453,AIC112,VTJRE,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC113,VTANB,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC114,VTANB,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC137,VTANR,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC138,VTANR,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC142,VTTSO,1203.0,247.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC143,VTTSO,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AIC147,VTANX,1151.0,220.0,966.84,84.0,966.84,Matched
4AIC-453,AIC148,VTANX,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC151,VTANP,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC155,VTANI,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC156,VTANI,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC157,VTANZ,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC161,VTJRB,1212.0,280.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC162,VTJRB,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC169,VTANO,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2016,VTTSP,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2017,VTTSP,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2018,VTTSE,1221.0,250.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2025,VTTSD,1143.0,250.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2026,VTTSD,1203.0,250.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2029,VTTSE,1143.0,250.0,960.12,84.0,960.12,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC112,VTJRE,1221.0,280.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC1138,VTALN,1203.0,345.0,1082.7,90.0,1082.7,Matched
4AIC-453,AIC117,VTANB,1188.0,220.0,997.92,84.0,997.92,Matched
4AIC-453,AIC118,VTANB,1232.0,220.0,1034.88,84.0,1034.88,Matched
4AIC-453,AIC137,VTANZ,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC138,VTANZ,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC148,VTNAC,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC152,VTANP,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC153,VTANM,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC154,VTANM,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC155,VTANP,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC156,VTANP,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC157,VTANL,1151.0,220.0,966.84,84.0,966.84,Matched
4AIC-453,AIC158,VTANZ,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC158,VTANL,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC161,VTJRF,1212.0,280.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC162,VTJRB,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC169,VTANO,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC170,VTANO,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2015,VTTSP,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2017,VTTSO,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2018,VTTSP,1225.0,247.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC2025,VTTSD,1143.0,250.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2026,VTTSD,1203.0,250.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2029,VTTSH,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2030,VTTSE,1203.0,250.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2030,VTTSH,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC111,VTJRB,1151.0,280.0,966.84,84.0,966.84,Matched
4AIC-453,AIC112,VTJRB,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC113,VTANX,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC114,VTANB,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC137,VTANM,1225.0,220.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC138,VTANM,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC142,VTANX,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC142,VTTSD,1221.0,250.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC143,VTANS,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC147,VTTSD,1172.0,250.0,984.48,84.0,984.48,Matched
4AIC-453,AIC151,VTANV,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC152,VTANV,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC155,VTANZ,1225.0,220.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC156,VTANZ,1225.0,220.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC157,VTANY,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC161,VTJRA,1212.0,280.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC162,VTJRF,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC169,VTANB,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC170,VTANO,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2016,VTTSP,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2017,VTTSN,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AIC2018,VTTSO,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2025,VTTSE,1172.0,250.0,984.48,84.0,984.48,Matched
4AIC-453,AIC2026,VTTSE,1203.0,250.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2027,VTTSQ,1143.0,250.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2029,VTTSP,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2030,VTTSP,1203.0,247.0,1010.52,84.0,1010.52,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC111,VTJRE,1151.0,280.0,966.84,84.0,966.84,Matched
4AIC-453,AIC112,VTJRE,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC117,VTANX,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC118,VTANX,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC137,VTANO,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC138,VTANO,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC143,VTANY,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC147,VTTSE,1161.0,250.0,975.24,84.0,975.24,Matched
4AIC-453,AIC148,VTANS,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC148,VTTSE,1203.0,250.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC151,VTANE,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC152,VTANE,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC155,VTANW,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC156,VTANW,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC157,VTANS,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC158,VTANY,1212.0,220.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC158,VTANS,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC161,VTJRA,1228.0,280.0,1031.52,84.0,1031.52,Matched
4AIC-453,AIC162,VTJRA,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC170,VTANC,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC180,VTAEF,617.0,345.0,555.3,90.0,555.3,Matched
4AIC-453,AIC2017,VTTSH,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2018,VTTSN,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2029,VTTSP,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2030,VTTSP,1203.0,247.0,1010.52,84.0,1010.52,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC111,VTJRE,1151.0,280.0,966.84,84.0,966.84,Matched
4AIC-453,AIC112,VTJRE,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC114,VTANX,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC117,VTANE,1228.0,220.0,1031.52,84.0,1031.52,Matched
4AIC-453,AIC137,VTNAA,1151.0,220.0,966.84,84.0,966.84,Matched
4AIC-453,AIC138,VTNAA,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC142,VTANY,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC142,VTANX,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC143,VTANX,1151.0,220.0,966.84,84.0,966.84,Matched
4AIC-453,AIC147,VTTSE,1143.0,250.0,960.12,84.0,960.12,Matched
4AIC-453,AIC148,VTTSE,1203.0,250.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC153,VTANO,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC154,VTANO,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC155,VTANW,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC156,VTANW,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC161,VTJRA,1168.0,280.0,981.12,84.0,981.12,Matched
4AIC-453,AIC162,VTJRA,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2015,VTTSN,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AIC2017,VTTSP,1172.0,247.0,984.48,84.0,984.48,Matched
4AIC-453,AIC2018,VTTSH,1203.0,247.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2025,VTTSO,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AIC2026,VTTSO,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2029,VTTSH,1172.0,247.0,984.48,84.0,984.48,Matched
4AIC-453,AIC2030,VTTSH,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC104,VTANZ,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC111,VTJRF,1168.0,280.0,981.12,84.0,981.12,Matched
4AIC-453,AIC112,VTJRF,1221.0,280.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC113,VTANW,1151.0,220.0,966.84,84.0,966.84,Matched
4AIC-453,AIC118,VTANE,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC118,VTANW,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC137,VTANZ,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC138,VTANZ,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC142,VTANX,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC143,VTANX,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC147,VTANP,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC148,VTANP,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC151,VTANH,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC152,VTANH,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC156,VTANO,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC158,VTANA,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC162,VTJRA,1221.0,280.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC169,VTANS,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC170,VTANS,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2016,VTTSN,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2017,VTTSH,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2018,VTTSP,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2025,VTTSO,1225.0,247.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC2026,VTTSO,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2029,VTTSP,1151.0,247.0,966.84,84.0,966.84,Matched
4AIC-453,AIC2030,VTTSP,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
