AIRCRAFT_REG,FROM_IATA,TO_IATA,MTOW_tonnes,FLIGHT_TYPE,Unit_Rate_mapped,Vendor_Charge,Difference,Status
VTCIF,VIDP,OTHH,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTCIP,OEDF,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTANE,VIDP,OMDB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTTQD,VOHS,OMDB,,Without landing (Overflight),,60.0,,Not Matched
VTTVE,VABB,OMDB,,Without landing (Overflight),,60.0,,Not Matched
VTANQ,VABB,OMDB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTANY,VOBL,EGLL,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTAEM,EGLL,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTTNP,VABB,OMDB,,Without landing (Overflight),,60.0,,Not Matched
VTCIP,VABB,OEDF,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTJRB,VIDP,KJFK,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTCIH,VABB,OMAA,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTCIO,OTHH,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTANE,OMDB,VIDP,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTAEP,EHAM,VIDP,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTCIP,VABB,OERK,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTTNW,OEDF,VABB,,Without landing (Overflight),,217.0,,Not Matched
VTTNP,OMDB,VABB,,Without landing (Overflight),,60.0,,Not Matched
VTTSO,VIDP,EGLL,,Without landing (Overflight),,334.0,,Not Matched
VTEXJ,VABB,OEDF,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTNAA,VIDP,EKCH,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTEXG,VIDP,OEJN,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTRTV,VIDP,OMDB,73.5,Without landing (Overflight),60.0,60.0,0.0,Matched
VTANE,OMDB,VIDP,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTCIH,OMAA,VABB,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTEXL,VABB,OEJN,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTANW,VIDP,LFPG,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTAEO,VABB,EGLL,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTJRF,VIDP,EGLL,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTAEQ,VABB,KJFK,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTJRI,VIDP,KEWR,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTEXP,VOCI,OMDB,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTANC,OMDB,VABB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTCIQ,OMDB,VOMM,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTTVE,OMDB,VABB,,Without landing (Overflight),,60.0,,Not Matched
VTANO,LIMC,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTNAA,EGBB,VIAR,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTAEQ,KJFK,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTTQD,OMDB,VOHS,,Without landing (Overflight),,60.0,,Not Matched
VTAND,LOWW,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTAND,VIDP,LFPG,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTEXP,OMDB,VOCI,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTTSH,VIDP,OMDB,,Without landing (Overflight),,90.0,,Not Matched
VTCIF,OTHH,VIDP,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTTNR,VABB,OTHH,,Without landing (Overflight),,217.0,,Not Matched
VTANU,VABB,EDDF,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTRTV,OMDB,VIDP,73.5,Without landing (Overflight),60.0,60.0,0.0,Matched
VTTNR,OTHH,VABB,,Without landing (Overflight),,217.0,,Not Matched
VTJRF,KEWR,VIDP,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTTSE,EGLL,VIDP,,Without landing (Overflight),,334.0,,Not Matched
VTANS,VIDP,EHAM,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTANE,VIDP,OMDB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTCIO,VABB,OTHH,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTTSP,EDDF,VIDP,,Without landing (Overflight),,334.0,,Not Matched
VTANM,VIDP,LSZH,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTTSD,VIDP,EDDF,247.207,Without landing (Overflight),90.0,334.0,244.0,Not Matched
VTJRH,VIDP,EGLL,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTCIQ,VOMM,OMDB,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTANI,VIDP,EGBB,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTALK,CYYZ,VIDP,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTCIP,OERK,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTTSH,OMDB,VIDP,,Without landing (Overflight),,90.0,,Not Matched
VTANC,VABB,OMDB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTTQH,OTHH,VABB,,Without landing (Overflight),,217.0,,Not Matched
VTRTT,VABB,OMDB,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTTVA,VABB,OMDB,,Without landing (Overflight),,60.0,,Not Matched
VTTSP,OMDB,VIDP,,Without landing (Overflight),,90.0,,Not Matched
VTAEE,KORD,VIDP,347.451,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTSCF,OMDB,VIDP,68.0,Without landing (Overflight),60.0,60.0,0.0,Matched
VTANS,VIDP,OMDB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTPPO,VABB,OMDB,89.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTTSD,VIDP,EGLL,247.207,Without landing (Overflight),90.0,334.0,244.0,Not Matched
VTEXP,VABB,OEDF,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTAND,VIDP,EHAM,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTALU,VIDP,OMDB,351.534,Without landing (Overflight),235.0,105.0,130.0,Not Matched
VTEXJ,VABB,OMAA,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTCIH,VOCI,OMDB,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTAEP,VABB,EGLL,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTCIP,VABB,OEJN,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTANU,VABB,EDDF,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTTNR,VOHS,OMDB,,Without landing (Overflight),,60.0,,Not Matched
VTRTT,OMDB,VABB,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTCIQ,OMDB,VOMM,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTEXJ,OMAA,VABB,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTANM,LSZH,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTEXJ,OEDF,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTTVA,OMDB,VABB,,Without landing (Overflight),,60.0,,Not Matched
VTALU,OMDB,VIDP,351.534,Without landing (Overflight),235.0,105.0,130.0,Not Matched
VTANO,LIMC,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTEXL,VABB,OEJN,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTEXQ,OERK,VIDP,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTEXP,OEDF,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTRTT,VABB,OEDF,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTTSN,VIDP,LFPG,,Without landing (Overflight),,334.0,,Not Matched
VTSCF,VIDP,OMDB,68.0,Without landing (Overflight),60.0,60.0,0.0,Matched
VTPPO,OMDB,VABB,89.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTRTU,OTHH,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTAEM,EGLL,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTAER,KJFK,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTTNR,OMDB,VOHS,,Without landing (Overflight),,60.0,,Not Matched
VTANH,OMDB,VABB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTJRB,VIDP,EGLL,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTALP,VIDP,LOWW,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTNAA,EKCH,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTAEN,KEWR,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTANI,VIAR,EGBB,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTJRF,EGLL,VIDP,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTAEE,VIDP,KORD,347.451,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTJRA,VIDP,EGLL,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTANE,VIDP,LOWW,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTTSE,VIDP,EDDF,,Without landing (Overflight),,334.0,,Not Matched
VTEXQ,VIDP,OERK,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTTSP,VIDP,OMDB,,Without landing (Overflight),,90.0,,Not Matched
VTCIQ,VOMM,OMDB,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTANO,VIDP,LFPG,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTANS,OMDB,VIDP,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTANE,LOWW,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTEXP,VABB,OERK,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTANR,VIDP,LIMC,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTNAC,VAAH,EGLL,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTEXG,VIDP,OTHH,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTANH,VABB,OMDB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTALS,CYYZ,VIDP,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTEXP,OERK,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTEXK,VIDP,OEJN,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTAEP,EGLL,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTCIH,OMDB,VOCI,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTEXG,OTHH,VIDP,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTTQH,VABB,OTHH,,Without landing (Overflight),,217.0,,Not Matched
VTALT,VIDP,LOWW,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTANQ,OMDB,VABB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTJRB,KJFK,VIDP,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTRTU,VABB,OTHH,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTTSO,VIDP,EGLL,,Without landing (Overflight),,334.0,,Not Matched
VTSCF,VIDP,OMDB,68.0,Without landing (Overflight),60.0,60.0,0.0,Matched
VTTVA,VABB,OMDB,,Without landing (Overflight),,60.0,,Not Matched
VTJRF,EGLL,VIDP,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTANH,OMDB,VABB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTALT,CYYZ,VIDP,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTJRB,EGLL,VIDP,280.0,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTTSO,OMDB,VIDP,,Without landing (Overflight),,90.0,,Not Matched
VTTVA,OMDB,VABB,,Without landing (Overflight),,60.0,,Not Matched
VTRTT,OEDF,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTCIH,VABB,OERK,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTRTT,OEDF,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTAEQ,VABB,EGLL,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTCIP,OMDB,VOCI,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTCIQ,OMDB,VOMM,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTALS,VIDP,LOWW,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTTSH,VIDP,LFPG,,Without landing (Overflight),,334.0,,Not Matched
VTEXP,OTHH,VABB,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTEXG,OTHH,VIDP,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTCIH,OMAA,VABB,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTTSN,VIDP,EDDF,,Without landing (Overflight),,334.0,,Not Matched
VTANE,VIDP,EHAM,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTAER,EGLL,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTTSO,EGLL,VIDP,,Without landing (Overflight),,334.0,,Not Matched
VTPPX,VABB,OTHH,89.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTANS,VIDP,EKCH,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTEXJ,VABB,OEDF,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTRTU,VABB,OEJN,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTPPH,OTHH,VABB,89.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTALQ,OJAI,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
VTCIH,VABB,OEDF,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTEDE,OMDB,VIDP,73.5,Without landing (Overflight),60.0,60.0,0.0,Matched
VTCIP,VABB,OERK,79.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTPPH,VABB,OTHH,89.0,Without landing (Overflight),130.0,217.0,87.0,Not Matched
VTNAA,VIDP,LFPG,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTTSD,EDDF,VIDP,247.207,Without landing (Overflight),90.0,334.0,244.0,Not Matched
VTTVA,OMDB,VABB,,Without landing (Overflight),,60.0,,Not Matched
VTCIP,OMDB,VOMM,79.0,Without landing (Overflight),130.0,60.0,70.0,Not Matched
VTANW,LIMC,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTANU,EHAM,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTANX,LFPG,VIDP,227.93,Without landing (Overflight),200.0,334.0,134.0,Not Matched
VTTSH,EGLL,VIDP,,Without landing (Overflight),,334.0,,Not Matched
VTANM,VIDP,OMDB,227.93,Without landing (Overflight),200.0,90.0,110.0,Not Matched
VTALM,EGLL,VABB,351.534,Without landing (Overflight),235.0,392.0,157.0,Not Matched
