Line #,Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,Location Code @ Type,,Flt. Info. Rgn.,Max. Take Off Weight @UOM,Route Date Time @ Type,,Weight Factor,"WP
Code",Distance @ UOM,,Quantity,Unit Price,Charge Amount,
10,"2025-04-02
00:00",AIC9 61,VTANM,B788,"VIDP  @  Origin
HKJK  @  Destination",,MOG MOG,227.9300  @ TON,"2025-04-02  12:31  @  Entry
2025-04-02  15:34  @  Exit",,,ORLID KESOM,"2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-02
00:00","AIC9
62",VTANM,B788,"HKJK  @  Origin
VIDP  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-02  18:18  @  Entry
2025-04-02  21:06  @  Exit",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-04
00:00","AIC9
61",VTANM,B788,"HKJK  @  Destination
VIDP  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-04  15:54  @  Exit
2025-04-04  13:12  @  Entry",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-04
00:00","AIC9
62",VTANM,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-04  21:50  @  Exit
2025-04-04  19:06  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-06
00:00",AIC9 61,VTNAC,B788,HKJK  @  Destination VIDP  @  Origin,,MOG MOG,227.9300  @ TON,"2025-04-06  15:01  @  Exit
2025-04-06  12:18  @  Entry",,,KESOM ORLID,"2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-06
00:00","AIC9
62",VTNAC,B788,"HKJK  @  Origin
VIDP  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-06  18:13  @  Entry
2025-04-06  20:59  @  Exit",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-07
00:00",AIC9 61,VTANM,B788,"VIDP  @  Origin
HKJK  @  Destination",,MOG MOG,227.9300  @ TON,"2025-04-07  11:48  @  Entry
2025-04-07  14:23  @  Exit",,,ORLID KESOM,"2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-07
00:00","AIC9
62",VTANM,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-07  20:52  @  Exit
2025-04-07  18:00  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-09
00:00","AIC9
62",VTANQ,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-09  20:58  @  Exit
2025-04-09  18:06  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-09
00:00","AIC9
61",VTANQ,B788,"HKJK  @  Destination
VIDP  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-09  14:58  @  Exit
2025-04-09  12:21  @  Entry",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-11
00:00","AIC9
61",VTANS,B788,"VIDP  @  Origin
HKJK  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-11  12:26  @  Entry
2025-04-11  15:05  @  Exit",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-11
00:00","AIC9
62",VTANS,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-11  21:33  @  Exit
2025-04-11  18:56  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-13
00:00","AIC9
61",VTNAA,B788,"VIDP  @  Origin
HKJK  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-13  12:50  @  Entry
2025-04-13  15:32  @  Exit",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-13
00:00","AIC9
62",VTNAA,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-13  21:32  @  Exit
2025-04-13  18:45  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-14
00:00","AIC9
62",VTANL,B788,"HKJK  @  Origin
VIDP  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-14  18:23  @  Entry
2025-04-14  21:13  @  Exit",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-14
00:00","AIC9
61",VTANL,B788,"HKJK  @  Destination
VIDP  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-14  15:15  @  Exit
2025-04-14  12:35  @  Entry",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-16
00:00","AIC9
61",VTANA,B788,"VIDP  @  Origin
HKJK  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-16  12:23  @  Entry
2025-04-16  15:05  @  Exit",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-16
00:00","AIC9
62",VTANA,B788,"HKJK  @  Origin
VIDP  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-16  18:17  @  Entry
2025-04-16  21:04  @  Exit",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-18
00:00","AIC9
61",VTANL,B788,"HKJK  @  Destination
VIDP  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-18  17:16  @  Exit
2025-04-18  14:28  @  Entry",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-18
00:00","AIC9
62",VTANL,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-18  23:39  @  Exit
2025-04-18  20:58  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-20
00:00","AIC9
62",VTANP,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-20  20:32  @  Exit
2025-04-20  17:49  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-20
00:00","AIC9
61",VTANP,B788,"VIDP  @  Origin
HKJK  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-20  12:01  @  Entry
2025-04-20  14:42  @  Exit",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-21
00:00",AIC9 62,VTANP,B788,VIDP  @  Destination HKJK  @  Origin,,MOG MOG,227.9300  @ TON,"2025-04-21  21:00  @  Exit
2025-04-21  18:16  @  Entry",,,ORLID KESOM,"2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-21
00:00","AIC9
61",VTANP,B788,"VIDP  @  Origin
HKJK  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-21  12:18  @  Entry
2025-04-21  15:06  @  Exit",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-23
00:00","AIC9
61",VTANS,B788,"HKJK  @  Destination
VIDP  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-23  15:30  @  Exit
2025-04-23  12:45  @  Entry",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-23
00:00","AIC9
62",VTANS,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-23  21:29  @  Exit
2025-04-23  18:21  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-25
00:00","AIC9
61",VTANZ,B788,"HKJK  @  Destination
VIDP  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-25  15:44  @  Exit
2025-04-25  12:57  @  Entry",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-25
00:00","AIC9
62",VTANZ,B788,"HKJK  @  Origin
VIDP  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-25  18:57  @  Entry
2025-04-25  21:39  @  Exit",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-27
00:00","AIC9
61",VTANI,B788,"HKJK  @  Destination
VIDP  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-27  15:15  @  Exit
2025-04-27  12:29  @  Entry",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-27
00:00","AIC9
62",VTANI,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-27  20:59  @  Exit
2025-04-27  18:14  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-28
00:00","AIC9
61",VTANU,B788,"HKJK  @  Destination
VIDP  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-28  14:44  @  Exit
2025-04-28  12:00  @  Entry",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-28
00:00","AIC9
62",VTANU,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-28  20:47  @  Exit
2025-04-28  18:01  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-30
00:00","AIC9
62",VTANW,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-30  20:52  @  Exit
2025-04-30  18:03  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-30
00:00",AIC9 61,VTANW,B788,"VIDP  @  Origin
HKJK  @  Destination",,MOG MOG,227.9300  @ TON,"2025-04-30  12:15  @  Entry
2025-04-30  14:55  @  Exit",,,ORLID KESOM,"2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
