Aircraft_Reg,Distance_km,Distance_Rounded,MTOW_tons,Unit_Rate_mapped,Calculated_Charge,Vendor_Charge,Difference,Status
VTJRH,2236.0,2300.0,280.0,207.8,4779.4,4779.4,0.0,Matched
VTJRF,2323.0,2400.0,280.0,207.8,4987.2,4987.2,0.0,Matched
VTJRA,2552.0,2600.0,280.0,207.8,5402.8,5402.8,0.0,Matched
VTJRH,2552.0,2600.0,280.0,207.8,5402.8,5402.8,0.0,Matched
VTJRI,2552.0,2600.0,280.0,207.8,5402.8,5402.8,0.0,Matched
VTJRA,2323.0,2400.0,280.0,207.8,4987.2,4987.2,0.0,Matched
VTJRF,2552.0,2600.0,280.0,207.8,5402.8,5402.8,0.0,Matched
VTJRA,2552.0,2600.0,280.0,207.8,5402.8,5402.8,0.0,Matched
VTALP,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEN,2236.0,2300.0,351.534,212.6,4889.8,4889.8,0.0,Matched
VTAEQ,2323.0,2400.0,351.534,212.6,5102.4,5102.4,0.0,Matched
VTAER,2552.0,2600.0,351.534,212.6,5527.6,5527.6,0.0,Matched
VTAEN,2552.0,2600.0,351.534,212.6,5527.6,5527.6,0.0,Matched
VTAEE,148.0,200.0,347.451,212.6,425.2,425.2,0.0,Matched
VTAEE,2552.0,2600.0,347.451,212.6,5527.6,5527.6,0.0,Matched
VTAEE,2552.0,2600.0,347.451,212.6,5527.6,5527.6,0.0,Matched
VTAEE,2552.0,2600.0,347.451,212.6,5527.6,5527.6,0.0,Matched
VTAEI,4572.0,4600.0,347.451,212.6,9779.6,9779.6,0.0,Matched
VTAEH,4628.0,4700.0,347.451,212.6,9992.2,9992.2,0.0,Matched
VTAEH,2704.0,2800.0,347.451,212.6,5952.8,5952.8,0.0,Matched
VTAEI,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEH,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEI,4572.0,4600.0,347.451,212.6,9779.6,9779.6,0.0,Matched
VTALR,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
"Registra-tion number
4",10.0,100.0,11.0,207.8,207.8,13.0,194.8,Not Matched
VTAEH,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEI,4628.0,4700.0,347.451,212.6,9992.2,9992.2,0.0,Matched
VTAEH,4572.0,4600.0,347.451,212.6,9779.6,9779.6,0.0,Matched
VTAEI,4658.0,4700.0,347.451,212.6,9992.2,9992.2,0.0,Matched
VTAEH,4767.0,4800.0,347.451,212.6,10204.8,10204.8,0.0,Matched
VTAEI,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEH,2149.0,2200.0,347.451,212.6,4677.2,4677.2,0.0,Matched
VTAEI,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEH,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEI,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEH,4767.0,4800.0,347.451,212.6,10204.8,10204.8,0.0,Matched
VTAEI,4628.0,4700.0,347.451,212.6,9992.2,9992.2,0.0,Matched
VTAEH,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEI,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEH,4658.0,4700.0,347.451,212.6,9992.2,9992.2,0.0,Matched
VTAEI,4628.0,4700.0,347.451,212.6,9992.2,9992.2,0.0,Matched
VTAEH,4628.0,4700.0,347.451,212.6,9992.2,9992.2,0.0,Matched
VTAEI,4628.0,4700.0,347.451,212.6,9992.2,9992.2,0.0,Matched
VTAEH,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEI,4572.0,4600.0,347.451,212.6,9779.6,9779.6,0.0,Matched
VTALO,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTAEH,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTALO,4923.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTAEH,4767.0,4800.0,347.451,212.6,10204.8,10204.8,0.0,Matched
VTALP,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALX,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALX,4572.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTALN,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALK,4572.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTALX,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALM,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEM,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALR,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALS,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALU,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALN,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALP,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALR,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALJ,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALU,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALR,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALX,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALN,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALX,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALM,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTAER,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEM,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALR,4923.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALK,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEM,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALU,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALN,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALP,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALS,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALS,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEP,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTAEP,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,2127.0,2200.0,351.534,212.6,4677.2,4677.2,0.0,Matched
VTALX,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALK,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALN,4504.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTALU,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALP,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALK,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALS,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,4572.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTALN,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALR,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALK,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALO,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALK,4572.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTALR,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEP,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALO,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALK,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALK,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALN,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALO,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALM,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEP,4572.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTAEM,4709.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTAEI,4988.0,5000.0,347.451,212.6,10630.0,10630.0,0.0,Matched
VTAEM,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALO,100.0,100.0,351.534,212.6,212.6,212.6,0.0,Matched
VTALX,2236.0,2300.0,351.534,212.6,4889.8,4889.8,0.0,Matched
VTALU,2552.0,2600.0,351.534,212.6,5527.6,5527.6,0.0,Matched
