Invoice number,Callsign,Departure,IATA,Arrival,IATA.1,FLIGHTDATE,AC Type,Registration,Total Bill,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,FLIGHT_TYPE,Reg_Clean,MTOW_in_KGs,MTOW_Tonnes,CALCULATED_CHARGE,TOTAL_BILL_NUM,STATUS
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,04-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,10-Sep-25,A20N,VTTQL,350.0,,,,,,,,,,,,Without landing rate,VTTQL,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,13-Sep-25,A20N,VTTQF,350.0,,,,,,,,,,,,Without landing rate,VTTQF,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,15-Sep-25,A20N,VTTQI,350.0,,,,,,,,,,,,Without landing rate,VTTQI,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,09-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,04-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,30-Sep-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,09-Sep-25,A20N,VTTNQ,350.0,,,,,,,,,,,,Without landing rate,VTTNQ,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,06-Sep-25,A20N,VTTNQ,350.0,,,,,,,,,,,,Without landing rate,VTTNQ,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,02-Sep-25,A20N,VTTQA,350.0,,,,,,,,,,,,Without landing rate,VTTQA,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,10-Sep-25,A20N,VTTQL,350.0,,,,,,,,,,,,Without landing rate,VTTQL,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,11-Sep-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,01-Sep-25,A20N,VTTNW,350.0,,,,,,,,,,,,Without landing rate,VTTNW,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,20-Sep-25,A20N,VTTNP,350.0,,,,,,,,,,,,Without landing rate,VTTNP,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,07-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,09-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,12-Sep-25,A20N,VTTQI,350.0,,,,,,,,,,,,Without landing rate,VTTQI,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,16-Sep-25,A20N,VTTNR,350.0,,,,,,,,,,,,Without landing rate,VTTNR,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,17-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,23-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,05-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,30-Sep-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,03-Sep-25,A20N,VTTNQ,180.0,,,,,,,,,,,,With landing,VTTNQ,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,02-Sep-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,30-Sep-25,A20N,VTTNW,350.0,,,,,,,,,,,,Without landing rate,VTTNW,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,19-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,27-Sep-25,A20N,VTTNR,350.0,,,,,,,,,,,,Without landing rate,VTTNR,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,03-Sep-25,A20N,VTTNY,350.0,,,,,,,,,,,,Without landing rate,VTTNY,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,06-Sep-25,A20N,VTTNQ,350.0,,,,,,,,,,,,Without landing rate,VTTNQ,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,08-Sep-25,A20N,VTTQL,350.0,,,,,,,,,,,,Without landing rate,VTTQL,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,09-Sep-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,04-Sep-25,A20N,VTTQI,180.0,,,,,,,,,,,,With landing,VTTQI,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,14-Sep-25,A20N,VTTNW,350.0,,,,,,,,,,,,Without landing rate,VTTNW,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,27-Sep-25,A20N,VTTQJ,180.0,,,,,,,,,,,,With landing,VTTQJ,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,02-Sep-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC969,VABB,BOM,OTHH,DOH,20-Sep-25,A20N,VTTNM,180.0,,,,,,,,,,,,With landing,VTTNM,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,25-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,05-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,08-Sep-25,A20N,VTTQL,350.0,,,,,,,,,,,,Without landing rate,VTTQL,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,28-Sep-25,A20N,VTTNU,350.0,,,,,,,,,,,,Without landing rate,VTTNU,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,30-Sep-25,A20N,VTTQI,350.0,,,,,,,,,,,,Without landing rate,VTTQI,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,13-Sep-25,A20N,VTTQF,350.0,,,,,,,,,,,,Without landing rate,VTTQF,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,23-Sep-25,A20N,VTTNW,180.0,,,,,,,,,,,,With landing,VTTNW,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,27-Sep-25,A20N,VTTQJ,180.0,,,,,,,,,,,,With landing,VTTQJ,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,01-Sep-25,A20N,VTTQI,350.0,,,,,,,,,,,,Without landing rate,VTTQI,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,02-Sep-25,A20N,VTTQA,350.0,,,,,,,,,,,,Without landing rate,VTTQA,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,11-Sep-25,A20N,VTTQL,350.0,,,,,,,,,,,,Without landing rate,VTTQL,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,21-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,24-Sep-25,A20N,VTTNR,350.0,,,,,,,,,,,,Without landing rate,VTTNR,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,29-Sep-25,A20N,VTTNU,350.0,,,,,,,,,,,,Without landing rate,VTTNU,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,01-Sep-25,A20N,VTTQI,350.0,,,,,,,,,,,,Without landing rate,VTTQI,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,09-Sep-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,03-Sep-25,A20N,VTTNY,350.0,,,,,,,,,,,,Without landing rate,VTTNY,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,18-Sep-25,A20N,VTTNW,350.0,,,,,,,,,,,,Without landing rate,VTTNW,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,25-Sep-25,A20N,VTTQI,350.0,,,,,,,,,,,,Without landing rate,VTTQI,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,26-Sep-25,A20N,VTTNY,350.0,,,,,,,,,,,,Without landing rate,VTTNY,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,07-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,25-Sep-25,A20N,VTTNW,180.0,,,,,,,,,,,,With landing,VTTNW,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,03-Sep-25,A20N,VTTNQ,180.0,,,,,,,,,,,,With landing,VTTNQ,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,04-Sep-25,A20N,VTTQI,180.0,,,,,,,,,,,,With landing,VTTQI,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,11-Sep-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,23-Sep-25,A20N,VTTNW,180.0,,,,,,,,,,,,With landing,VTTNW,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC970,OTHH,DOH,VABB,BOM,20-Sep-25,A20N,VTTNM,180.0,,,,,,,,,,,,With landing,VTTNM,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,26-Oct-25,A20N,VTTNV,180.0,,,,,,,,,,,,With landing,VTTNV,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,29-Oct-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,14-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,29-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,31-Oct-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2249,VABB,BOM,OEDF,DMM,27-Oct-25,A20N,VTTQI,350.0,,,,,,,,,,,,Without landing rate,VTTQI,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC970,OTHH,DOH,VABB,BOM,22-Oct-25,A20N,VTTNU,180.0,,,,,,,,,,,,With landing,VTTNU,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC969,VABB,BOM,OTHH,DOH,30-Oct-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC969,VABB,BOM,OTHH,DOH,02-Oct-25,A20N,VTTQH,180.0,,,,,,,,,,,,With landing,VTTQH,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,28-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,18-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,15-Oct-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,15-Oct-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC935,VABB,BOM,OEDF,DMM,24-Oct-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,26-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,27-Oct-25,A20N,VTTNY,180.0,,,,,,,,,,,,With landing,VTTNY,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,29-Oct-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2287,VABB,BOM,OEDF,DMM,06-Oct-25,A20N,VTTNX,350.0,,,,,,,,,,,,Without landing rate,VTTNX,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC2288,OEDF,DMM,VABB,BOM,01-Oct-25,A20N,VTTNW,350.0,,,,,,,,,,,,Without landing rate,VTTNW,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC935,VABB,BOM,OEDF,DMM,06-Oct-25,A20N,VTTNP,350.0,,,,,,,,,,,,Without landing rate,VTTNP,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC970,OTHH,DOH,VABB,BOM,30-Oct-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,27-Oct-25,A20N,VTTNY,180.0,,,,,,,,,,,,With landing,VTTNY,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,26-Oct-25,A20N,VTTNV,180.0,,,,,,,,,,,,With landing,VTTNV,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2249,VABB,BOM,OEDF,DMM,30-Oct-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC969,VABB,BOM,OTHH,DOH,22-Oct-25,A20N,VTTNU,180.0,,,,,,,,,,,,With landing,VTTNU,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,27-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,14-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,18-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,01-Oct-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2249,VABB,BOM,OEDF,DMM,29-Oct-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC2287,VABB,BOM,OEDF,DMM,16-Oct-25,A20N,VTTNQ,350.0,,,,,,,,,,,,Without landing rate,VTTNQ,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC970,OTHH,DOH,VABB,BOM,29-Oct-25,A20N,VTTQJ,180.0,,,,,,,,,,,,With landing,VTTQJ,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2290,OTHH,DOH,VABB,BOM,13-Oct-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,28-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,26-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2249,VABB,BOM,OEDF,DMM,28-Oct-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC969,VABB,BOM,OTHH,DOH,29-Oct-25,A20N,VTTQJ,180.0,,,,,,,,,,,,With landing,VTTQJ,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,30-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,13-Oct-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC970,OTHH,DOH,VABB,BOM,02-Oct-25,A20N,VTTQH,180.0,,,,,,,,,,,,With landing,VTTQH,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC970,OTHH,DOH,VABB,BOM,11-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,29-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,30-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,31-Oct-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,27-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,01-Oct-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
